value,zipcode,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black,Percent NonHisp White,Percent NonHisp Black,Violent Crime Rate,Total Population,In Poverty,Percent In Poverty
66,90247,47706,25166,3192,9061,22540,8553,152,6.690982266,18.99341802,125.7703434,47123,9134,19.383316
67,90248,10592,6268,989,1712,4324,2376,55,9.33723565,16.16314199,264.3504532,10510,1298,12.35014272
68,90272,23151,22074,19326,283,1077,999,0,83.47803551,1.222409399,17.27787137,23115,909,3.932511356
69,90291,27277,21969,18291,1393,5308,4020,53,67.05649448,5.106866591,1484.767386,27221,3059,11.2376474
70,90292,22482,20647,16404,1444,1835,1318,0,72.9650387,6.422916111,351.3922249,22473,3115,13.86107774
71,90293,12649,10818,7920,643,1831,828,53,62.61364535,5.083405803,332.0420587,12558,874,6.95970696
72,90302,31064,17721,1845,14620,13343,7358,431,5.939351017,47.06412568,67.6023693,30849,6342,20.55820286
73,90304,27008,2435,765,936,24573,10538,352,2.832494076,3.46563981,37.02606635,26945,8280,30.72926331
74,90305,15777,13364,440,12196,2413,1430,50,2.788869874,77.30240223,862.0143246,15739,1687,10.71859712
75,90402,11410,10649,9285,88,761,701,0,81.37598598,0.771253287,385.6266433,11393,847,7.434389537
76,90404,22201,15896,10757,1503,6305,4715,57,48.4527724,6.769965317,130.6247466,21543,3358,15.58742979
77,90405,28861,24223,18812,1021,4638,3828,19,65.18138665,3.537645958,38.11371747,28755,3061,10.6451052
78,90501,43405,25156,10489,2485,18249,7654,194,24.16541873,5.725146872,126.7135123,43272,6420,14.8363838
79,90502,17855,10941,2617,1583,6914,3307,10,14.65695884,8.865863904,263.2315878,17079,2209,12.93401253
80,90710,27914,15688,5318,3513,12226,5772,53,19.05137207,12.58508275,630.5079888,27887,4757,17.05812744
81,90717,21658,14442,9280,817,7216,3667,13,42.84790839,3.772278142,41.55508357,21490,2881,13.40623546
82,90731,61046,27967,18019,4672,33079,18221,206,29.51708548,7.653245094,442.2894211,59868,12306,20.55522149
83,90732,21763,15489,11560,655,6274,3898,33,53.11767679,3.009695355,1709.323163,21412,1350,6.304875771
84,90744,57432,5483,2662,824,51949,31398,190,4.635046664,1.434740215,800.9472071,57220,15673,27.39077246
85,90745,57785,32266,4596,3940,25519,13760,146,7.953621182,6.818378472,1.730552912,57534,7019,12.19974276
86,90810,37422,18767,2160,4462,18655,12263,65,5.772005772,11.92346748,5.344449789,37296,7090,19.01008151
87,90813,60997,21460,3982,6380,39537,26337,690,6.528189911,10.4595308,4.918274669,60589,20928,34.54092327
88,91030,25905,20781,10923,661,5124,3068,61,42.1656051,2.551630959,84.92569002,25742,2337,9.078548675
89,91040,19587,14962,12406,354,4625,3544,0,63.33792822,1.807321182,663.705519,19346,2865,14.8092629
90,91105,11728,9875,6729,696,1853,1189,0,57.3755116,5.934515689,85.26603001,11459,966,8.430054979
91,91201,23510,18841,15683,334,4669,2318,41,66.70778392,1.420672054,51.04210974,23380,3406,14.56800684
92,91204,17681,11608,7714,531,6073,3566,55,43.62875403,3.0032238,124.4273514,17136,3861,22.53151261
93,91205,37664,28237,21487,778,9427,5783,172,57.04917162,2.065632965,39.82582838,37489,8119,21.65701939
94,91206,34247,29191,21814,351,5056,3241,66,63.69609017,1.024907291,37.9595293,33954,5160,15.19703128
95,91214,30935,27415,17079,120,3520,2128,16,55.20930984,0.387910134,61.41910457,30818,1536,4.984100201
96,91303,29668,10800,5677,1308,18868,12125,24,19.13509505,4.408790616,1493.191317,29595,6678,22.5646224
97,91304,52846,30674,19240,2171,22172,7157,39,36.40767513,4.108163343,79.4762139,52304,8644,16.52646069
98,91306,49043,23131,11926,1543,25912,9558,94,24.31743572,3.146218624,628.0203087,48814,7190,14.72938092
99,91307,26703,22665,16666,817,4038,2196,0,62.41246302,3.05958132,29.95918062,26500,1550,5.849056604
100,91311,38479,29166,19091,1474,9313,5318,32,49.61407521,3.83066088,309.2595961,37921,3294,8.686479787
101,91316,29485,25160,20587,1060,4325,3504,16,69.82194336,3.59504833,362.896388,29315,4240,14.4635852
102,91321,34664,18153,13604,868,16511,11310,78,39.24532656,2.504038772,2.884837295,33792,5459,16.15471117
103,91324,29689,19109,11264,2218,10580,4615,194,37.93997777,7.470780424,1084.576779,29491,4696,15.92350209
104,91325,33558,22688,13544,2629,10870,5938,158,40.35997378,7.834197509,417.1881519,33297,5820,17.47905217
105,91326,36168,31611,17238,1189,4557,2747,4,47.66091573,3.287436408,110.5950011,36136,2230,6.171131282
106,91331,101536,13901,4364,3204,87635,56490,238,4.297982981,3.155531043,420.540498,100743,20093,19.94481006
107,91335,80161,38596,24137,3391,41565,30837,144,30.11065231,4.230236649,541.4104115,79001,16407,20.76809154
108,91340,35681,3040,1537,765,32641,20081,279,4.307614697,2.143998206,1207.925787,35210,6246,17.73927861
109,91342,95222,22377,12291,3446,72845,56414,259,12.90773141,3.618911596,56.70958392,93496,14968,16.00924104
110,91343,64323,25399,12837,2475,38924,17825,55,19.95709155,3.847768294,569.0033114,63859,14585,22.83938051
111,91344,53290,36180,23573,2120,17110,7843,78,44.23531619,3.978232314,345.2805404,52907,3896,7.363864895
112,91345,18763,5758,3335,308,13005,7311,36,17.77434312,1.64152854,1001.971966,18523,1992,10.75419748
113,91352,47079,12915,8864,652,34164,27020,141,18.82792753,1.384906221,369.5915376,46779,9344,19.97477501
114,91356,29728,24570,20362,1050,5158,2279,39,68.49434876,3.532023681,615.5812702,29533,3126,10.58476958
115,91364,27607,23780,19159,1474,3827,2299,36,69.39906545,5.339225559,231.8252617,27448,1960,7.140775284
116,91367,42319,37417,27830,1724,4902,2658,26,65.7624235,4.07382027,645.1003096,42115,3995,9.485931378
